accuracy,precision,recall,f1,roc_auc,pr_auc,ece,tn,fp,fn,tp,seed,model,split_type,noise_group,noise_rate,weight_text
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9932338308457712,0.9826590167794859,0.02877500516240161,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,qualifier,0.0,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.993091684434968,0.9823949153014038,0.030179206595235084,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,qualifier,0.05,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9932338308457711,0.9831476088110807,0.03196298579750559,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,qualifier,0.1,0.55
0.9727272727272728,0.9894736842105263,0.8952380952380953,0.94,0.9933759772565743,0.9836606160433913,0.0337196582858581,334,1,11,94,13,retuned_text_hrkg_late_fusion,transcript,qualifier,0.2,0.55
0.9727272727272728,0.9894736842105263,0.8952380952380953,0.94,0.9934896943852167,0.9838291108326709,0.03128217919140122,334,1,11,94,13,retuned_text_hrkg_late_fusion,transcript,qualifier,0.3,0.55
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9978678038379531,0.9935241636328911,0.023757399961745303,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,entity,0.0,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9978393745557925,0.9934438040477094,0.025080437498868405,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,entity,0.05,0.5
0.9840909090909091,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9979815209665955,0.9938168048446295,0.026095984226985985,333,2,5,100,17,retuned_text_hrkg_late_fusion,transcript,entity,0.1,0.5
0.9840909090909091,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9978962331201138,0.9935564633701154,0.02640052764526239,333,2,5,100,17,retuned_text_hrkg_late_fusion,transcript,entity,0.2,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.99772565742715,0.9931386784629863,0.032445959307533793,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,entity,0.3,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9978678038379531,0.9935241636328911,0.023757399961745303,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,relation,0.0,0.5
0.9795454545454545,0.98,0.9333333333333333,0.9560975609756097,0.9975266524520255,0.992490962381529,0.023516130540666275,333,2,7,98,17,retuned_text_hrkg_late_fusion,transcript,relation,0.05,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.997498223169865,0.9922915096381929,0.028758053205776096,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,relation,0.1,0.5
0.9840909090909091,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9980383795309168,0.9939673538599024,0.029310861892536292,333,2,5,100,17,retuned_text_hrkg_late_fusion,transcript,relation,0.2,0.5
0.9840909090909091,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9978109452736318,0.9933934629022021,0.027487549920415428,333,2,5,100,17,retuned_text_hrkg_late_fusion,transcript,relation,0.3,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9978678038379531,0.9935241636328911,0.023757399961745303,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,qualifier,0.0,0.5
0.9818181818181818,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9978109452736319,0.9933410101008019,0.02543446204447006,333,2,6,99,17,retuned_text_hrkg_late_fusion,transcript,qualifier,0.05,0.5
0.9795454545454545,0.98,0.9333333333333333,0.9560975609756097,0.9975835110163469,0.9925416874050585,0.0178014235329718,333,2,7,98,17,retuned_text_hrkg_late_fusion,transcript,qualifier,0.1,0.5
0.9840909090909091,0.9803921568627451,0.9523809523809523,0.966183574879227,0.9980099502487562,0.993975037433344,0.024214069533109762,333,2,5,100,17,retuned_text_hrkg_late_fusion,transcript,qualifier,0.2,0.5
